# Gene1,Gene2,h
3.000,1.000,0.000
0.000,3.000,0.000
2.000,2.000,0.000
2.000,4.000,0.000
6.000,0.000,0.000
1.000,1.000,0.000
3.000,2.000,0.000
2.000,3.000,0.000
4.000,0.000,0.000
2.000,2.000,0.000
3.000,5.000,0.000
5.000,3.000,0.000
2.000,5.000,0.000
4.000,0.000,0.000
3.000,5.000,0.000
4.000,1.000,0.000
1.000,1.000,0.000
3.000,1.000,0.000
4.000,4.000,0.000
2.000,2.000,0.000
0.000,1.000,0.000
3.000,2.000,0.000
2.000,3.000,0.000
2.000,6.000,0.000
1.000,4.000,0.000
2.000,5.000,0.000
3.000,3.000,0.000
4.000,1.000,0.000
5.000,3.000,0.000
4.000,0.000,0.000
1.000,2.000,0.000
2.000,4.000,0.000
3.000,3.000,0.000
1.000,1.000,0.000
3.000,0.000,0.000
3.000,1.000,0.000
1.000,1.000,0.000
2.000,4.000,0.000
2.000,1.000,0.000
1.000,3.000,0.000
1.000,3.000,0.000
3.000,3.000,0.000
4.000,0.000,0.000
1.000,1.000,0.000
1.000,2.000,0.000
1.000,1.000,0.000
0.000,2.000,0.000
4.000,2.000,0.000
1.000,2.000,0.000
6.000,1.000,0.000
3.000,2.000,0.000
5.000,0.000,0.000
7.000,1.000,0.000
0.000,1.000,0.000
2.000,3.000,0.000
5.000,2.000,0.000
6.000,0.000,0.000
3.000,4.000,0.000
6.000,0.000,0.000
2.000,1.000,0.000
4.000,3.000,0.000
2.000,3.000,0.000
2.000,3.000,0.000
3.000,1.000,0.000
3.000,3.000,0.000
1.000,4.000,0.000
4.000,4.000,0.000
2.000,1.000,0.000
0.000,1.000,0.000
2.000,1.000,0.000
2.000,2.000,0.000
2.000,0.000,0.000
1.000,4.000,0.000
4.000,4.000,0.000
2.000,3.000,0.000
2.000,0.000,0.000
2.000,5.000,0.000
3.000,2.000,0.000
1.000,4.000,0.000
3.000,1.000,0.000
2.000,6.000,0.000
2.000,3.000,0.000
3.000,4.000,0.000
1.000,2.000,0.000
4.000,2.000,0.000
2.000,0.000,0.000
3.000,1.000,0.000
3.000,2.000,0.000
3.000,5.000,0.000
5.000,0.000,0.000
0.000,3.000,0.000
1.000,3.000,0.000
4.000,3.000,0.000
2.000,2.000,0.000
1.000,2.000,0.000
5.000,7.000,0.000
3.000,4.000,0.000
1.000,3.000,0.000
2.000,0.000,0.000
1.000,4.000,0.000
4.000,2.000,0.000
0.000,3.000,0.000
4.000,3.000,0.000
3.000,3.000,0.000
4.000,1.000,0.000
4.000,2.000,0.000
6.000,4.000,0.000
1.000,3.000,0.000
2.000,2.000,0.000
1.000,1.000,0.000
3.000,3.000,0.000
1.000,1.000,0.000
3.000,1.000,0.000
2.000,2.000,0.000
5.000,1.000,0.000
6.000,2.000,0.000
1.000,1.000,0.000
5.000,0.000,0.000
2.000,2.000,0.000
3.000,0.000,0.000
1.000,4.000,0.000
1.000,2.000,0.000
1.000,2.000,0.000
1.000,1.000,0.000
0.000,1.000,0.000
2.000,3.000,0.000
2.000,1.000,0.000
2.000,4.000,0.000
2.000,5.000,0.000
2.000,6.000,0.000
3.000,4.000,0.000
